refId,name,intro ,imageid,iconid,shirt,position,star,league,nation,skillrefid,specialType,offense,organize,defense,goalkeep,a,b,c,d,offenseJie,organizeJie,defenseJie,goalkeepJie
10000,玩家,玩家卡牌,hero_h_10000,hero_i_10000,shirt_617,1,6,1,8,4022/4023/4024/4025,2,68,68,68,68,8000,8000,8000,8000,500#1000#2000#4000#6000,500#1000#2000#4000#6000,500#1000#2000#4000#6000,500#1000#2000#4000#6000
10054,尤西比奥,66年世界杯最佳射手,hero_h_10054,hero_i_10054,shirt_608,1,6,8,8,4006,1,212,88,60,23,8000,5000,1000,1000,500#1000#2000#4000#6000,500#1000#2000,100#300#600,100#300#600
10164,C・罗纳尔多,带球速度极快，善于突破和射门。,hero_h_10164,hero_i_10164,shirt_608,2,6,5,8,4007,1,202,102,45,20,8000,5000,1000,1000,500#1000#2000#4000#6000,500#1000#2000,100#300#600,100#300#600
10177,齐达内,前卫当今最有成就的司职中场大师。 ,hero_h_10177,hero_i_10177,shirt_611,2,6,8,8,4012,1,189,210,45,20,5000,8000,1000,1000,500#1000#2000,500#1000#2000#4000#6000,100#300#600,100#300#600
10178,普拉蒂尼,八十年代欧洲最佳球员，三度金球奖得主。 ,hero_h_10178,hero_i_10178,shirt_611,2,6,8,8,4013,1,189,210,45,20,5000,8000,1000,1000,500#1000#2000,500#1000#2000#4000#6000,100#300#600,100#300#600
10059,范巴斯滕,“三剑客”之一，天才射手，可惜过早退役。 ,hero_h_10059,hero_i_10059,shirt_607,1,6,8,7,4005,1,222,89,45,20,8000,4000,1000,1000,500#1000#2000#4000#6000,500#1000#2000,100#300#600,100#300#600
10040,梅西,2009年金球奖及世界足球先生。,hero_h_10040,hero_i_10040,shirt_606,1,6,5,6,4001,1,210,189,45,20,8000,6000,1000,1000,500#1000#2000#4000#6000,500#1000#2000#3500,100#300#600,100#300#600
10052,马拉多纳,被认为足球史上最优秀亦是最具争议的球员。,hero_h_10052,hero_i_10052,shirt_606,1,6,8,6,4002,1,203,230,89,20,8000,8000,1000,1000,500#1000#2000#4000#6000,500#1000#2000#4000#6000,100#300#600,100#300#600
10061,巴乔,贝克汉姆之前最受女球迷喜爱的球星。,hero_h_10061,hero_i_10061,shirt_604,1,6,8,4,4010,1,189,178,45,20,8000,4000,1000,1000,500#1000#2000#4000#6000,500#1000#2000,100#300#600,100#300#600
10186,巴雷西,八、九十年代米兰王朝的领袖。,hero_h_10186,hero_i_10186,shirt_604,2,6,8,4,4017,1,90,67,210,20,1000,1000,8000,1000,100#300#600,100#300#600,500#1000#2000#4000#6000,100#300#600
10265,马尔蒂尼,米兰王朝的见证人，职业球员的典范。,hero_h_10265,hero_i_10265,shirt_604,3,6,8,4,4016,1,90,67,210,20,1000,1000,8000,1000,100#300#600,100#300#600,500#1000#2000#4000#6000,100#300#600
10286,佐夫,欧洲“钢门”。 ,hero_h_10286,hero_i_10286,shirt_604,4,6,8,4,4019,1,38,67,89,210,1000,1000,1000,8000,100#300#600,100#300#600,100#300#600,500#1000#2000#4000#6000
10057,盖德・穆勒,世界杯进球纪录14球保持者。 ,hero_h_10057,hero_i_10057,shirt_603,1,6,8,3,4008,1,189,71,52,40,8000,1000,1000,1000,500#1000#2000#4000#6000,100#300#600,100#300#600,100#300#600
10176,贝肯鲍尔,现代全能型球员的典范。 ,hero_h_10176,hero_i_10176,shirt_603,2,6,8,3,4015,1,189,189,120,40,4000,8000,1000,1000,500#1000#2000,500#1000#2000#4000#6000,100#300#600,100#300#600
10266,马特乌斯,90年世界杯得主，德国足球的象征。 ,hero_h_10266,hero_i_10266,shirt_603,3,6,8,3,4018,1,148,168,150,60,4000,7000,4000,1000,500#1000#2000,500#1000#2000#4000#6000,100#300#600,100#300#600
10289,卡恩,2002年世界杯最佳球员，极具领袖气质。,hero_h_10289,hero_i_10289,shirt_603,4,6,8,3,4020,1,38,67,89,210,1000,1000,1000,8000,100#300#600,100#300#600,100#300#600,500#1000#2000#4000#6000
10179,查尔顿,英国最有成就的足球大师，曼联足球的见证人。 ,hero_h_10179,hero_i_10179,shirt_602,2,6,8,2,4014,1,130,160,150,30,4000,7000,1000,1000,500#1000#2000,500#1000#2000#4000#6000,100#300#600,100#300#600
10053,贝利,迄今享誉最多的足球运动员，三届世界杯得主。 ,hero_h_10053,hero_i_10053,shirt_601,1,6,8,1,4003,1,199,201,75,30,8000,8000,1000,1000,500#1000#2000#4000#6000,500#1000#2000#4000#6000,100#300#600,100#300#600
10062,济科,八十年代巴西桑巴舞之代表人物。 ,hero_h_10062,hero_i_10062,shirt_601,1,6,8,1,4011,1,178,192,40,30,5000,8000,1000,1000,500#1000#2000,500#1000#2000#4000#6000,100#300#600,100#300#600
10090,罗纳尔多,左右脚均衡，射术全面，射门精准。,hero_h_10090,hero_i_10090,shirt_601,1,6,5,1,4009,1,222,78,50,30,8000,1000,1000,1000,500#1000#2000#4000#6000,100#300#600,100#300#600,100#300#600
10070,亨利,当今最高产的射手之一。 ,hero_h_10070,hero_i_10070,shirt_611,1,5,8,8,4044,1,160,90,50,30,6000,1000,1000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10108,德尚,曾率领法国队夺得世界杯和欧洲足球锦标赛的双料冠军。,hero_h_10108,hero_i_10108,shirt_611,2,5,7,8,4031,4,40,160,120,20,1000,1000,6000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10180,内德维德,东欧足球最杰出的代表，当今足坛第一硬汉。 ,hero_h_10180,hero_i_10180,shirt_622,2,5,8,8,4029,1,78,120,160,20,1000,1000,6000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10182,菲戈,葡萄牙“黄金一代”的首领。 ,hero_h_10182,hero_i_10182,shirt_608,2,5,8,8,4039,1,120,150,56,30,1000,6000,1000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10264,图拉姆,法国队连夺世界杯和欧锦赛的关键人物之一。 ,hero_h_10264,hero_i_10264,shirt_611,3,5,8,8,4033,1,78,102,160,20,1000,1000,6000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10288,舒梅切尔,92年以替补身份夺取欧洲杯的主要缔造者。 ,hero_h_10288,hero_i_10288,shirt_614,4,5,8,8,4051,1,30,24,39,170,1000,1000,1000,6000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10020,范佩西,英超赛场上一共打进30球，捧得英超金靴，阿森纳的头号射手。,hero_h_10020,hero_i_10020,shirt_607,1,5,2,7,4043,1,160,104,31,30,6000,1000,1000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10058,博格坎普,当今最具创造性的球星之一。 ,hero_h_10058,hero_i_10058,shirt_607,1,5,8,7,4028,1,160,104,31,30,6000,1000,1000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10181,里杰卡尔德,名扬天下的荷兰“三剑客”之一。 ,hero_h_10181,hero_i_10181,shirt_607,2,5,8,7,4032,1,90,144,31,30,1000,6000,1000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10267,古利特,“三剑客”之一，轻灵与简捷，被称为“辫帅”。 ,hero_h_10267,hero_i_10267,shirt_607,3,5,8,7,4034,1,160,104,31,30,4000,6000,1000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10019,阿奎罗,爆发力和寻找战机能力很强，擅于盘带，速度较快。,hero_h_10019,hero_i_10019,shirt_606,1,5,2,6,4041,1,160,89,31,30,6000,1000,1000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10051,斯蒂法诺,五十年代率领皇马连续五次夺取欧洲冠军杯。,hero_h_10051,hero_i_10051,shirt_606,1,5,8,6,4027,1,170,81,53,20,6000,1000,1000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10072,肯佩斯,78年世界杯最佳射手。,hero_h_10072,hero_i_10072,shirt_606,1,5,8,6,4030,1,160,89,31,30,6000,1000,1000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10041,劳尔,在当今的世界足球史上永远会是个不老的传奇。 ,hero_h_10041,hero_i_10041,shirt_605,1,5,3,5,4044,1,140,130,42,40,6000,1000,1000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10135,伊涅斯塔,依靠全面的能力以及优秀的职业素质，能够胜任任何教练交与他的责任。,hero_h_10135,hero_i_10135,shirt_605,2,5,5,5,4026,1,89,160,45,30,1000,6000,1000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10282,卡西利亚斯,绝活是在门线上以惊人的反应速度封住对手近在咫尺的射门。,hero_h_10282,hero_i_10282,shirt_605,4,5,5,5,4038,1,34,36,30,160,1000,1000,1000,6000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10074,克林斯曼,喜欢周游世界的强力前锋。 ,hero_h_10074,hero_i_10074,shirt_603,1,5,8,3,4040,1,150,94,50,47,6000,1000,1000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10022,鲁尼,活动范围大、技术全面且非常无私，被认为是同时代最出色的英格兰球员。,hero_h_10022,hero_i_10022,shirt_602,1,5,2,2,4042,1,160,102,30,20,6000,1000,1000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10060,希勒,技术精湛的高产射手。 ,hero_h_10060,hero_i_10060,shirt_602,1,5,8,2,4031,1,155,65,50,30,6000,1000,1000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10096,阿什利・扬?,2006-2007赛季冬季英超转会市场的标王。,hero_h_10096,hero_i_10096,shirt_602,2,5,2,2,4045,1,41,100,156,20,1000,1000,6000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10172,吉格斯,边锋天才球员，盘球大师，十年来一直是曼联最可靠的取胜之匙。 ,hero_h_10172,hero_i_10172,shirt_602,2,5,2,2,4028,1,98,130,40,51,1000,6000,1000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10050,内马尔,突破非常犀利且能将花哨动作熟练运用于实战。,hero_h_10050,hero_i_10050,shirt_601,1,5,8,1,4026,1,170,110,41,30,6000,1000,1000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10055,罗马里奥,天生的射手，94年巴西夺取世界杯的头号功臣。 ,hero_h_10055,hero_i_10055,shirt_601,1,5,8,1,4030,1,173,30,30,10,6000,1000,1000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10069,卡雷卡,八十年代巴西首席射手，86年世界杯表现极佳。,hero_h_10069,hero_i_10069,shirt_601,1,5,8,1,4043,1,140,73,30,20,6000,1000,1000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10071,苏格拉底,86年世界杯表现极佳，以头脑冷静而著称。 ,hero_h_10071,hero_i_10071,shirt_601,1,5,8,1,4029,1,102,130,30,10,1000,6000,1000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10104,巴普蒂斯塔,体力出众、技术出色、身强力壮。,hero_h_10104,hero_i_10104,shirt_601,2,5,5,1,4027,1,173,30,30,10,6000,1000,1000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10268,卡洛斯,当今最有成就的攻击型司职后卫。 ,hero_h_10268,hero_i_10268,shirt_601,3,5,8,1,4035,1,120,30,130,10,1000,1000,6000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10002,德罗巴,冲击力、速度、体格都非常优秀。,hero_h_10002,hero_i_10002,shirt_630,1,4,2,8,4071,1,150,95,30,10,5000,1000,1000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10004,贝尔巴托夫,停球控球极佳，优雅的球风在足坛独树一帜。,hero_h_10004,hero_i_10004,shirt_628,1,4,2,8,4054,1,60,130,89,32,1000,5000,1000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10007,G・罗西,一名年少成名的天才球员。在代表帕尔玛参加的114场比赛中攻入了133个进球。,hero_h_10007,hero_i_10007,shirt_628,1,4,5,8,4069,1,144,89,33,32,5000,1000,1000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10023,伊瓜因,他的射门技术是整个西甲乃至全世界最精湛的射手之一。,hero_h_10023,hero_i_10023,shirt_606,1,4,5,8,4056,1,153,55,30,30,5000,1000,1000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10026,本泽马,虽然年纪轻轻，但却展现出过人的才华和舍我其谁的霸气。,hero_h_10026,hero_i_10026,shirt_611,1,4,5,8,4055,1,145,55,30,30,5000,1000,1000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10027,苏亚雷斯,控球出神入化如入无人之境，几位防守队员围追堵截都奈何不了他。,hero_h_10027,hero_i_10027,shirt_615,1,4,2,8,4065,1,145,55,30,30,5000,1000,1000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10035,桑切斯,十分灵活，善于利于娴熟的脚下技术和出众的速度灵活性突破。,hero_h_10035,hero_i_10035,shirt_609,1,4,5,8,4071,1,145,55,30,30,5000,1000,1000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10091,斯坦科维奇,传球视野开阔，一名出色的攻击型中场。,hero_h_10091,hero_i_10091,shirt_627,2,4,1,8,4055,1,110,98,30,30,1000,5000,1000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10098,古尔库夫,一名技术全面的攻击型中场，禁区弧顶一带是他最擅长的区域。,hero_h_10098,hero_i_10098,shirt_611,2,4,6,8,4052,1,110,98,30,30,1000,5000,1000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10107,亚亚・图雷,拥有着非常强壮的身体，能够进行大面积的防守。,hero_h_10107,hero_i_10107,shirt_629,2,4,2,8,4055,1,30,130,130,30,1000,1000,5000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10109,皮萨罗,不仅善于组织进攻，同时亦能插上破门得分。,hero_h_10109,hero_i_10109,shirt_630,2,4,4,8,4052,1,70,120,92,21,1000,5000,1000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10113,皮亚尼奇,年仅16岁就在38次出场中攻入了4个入球。,hero_h_10113,hero_i_10113,shirt_626,2,4,4,8,4066,1,110,90,52,13,5000,1000,1000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10133,里贝里,踢法充满活力，具有很强的带球突破能力，擅长在左路带球内切进攻。,hero_h_10133,hero_i_10133,shirt_611,2,4,3,8,4058,1,144,110,50,32,5000,1000,1000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10187,阿扎尔,盘球时的爆发力和变速转向的能力突出。,hero_h_10187,hero_i_10187,shirt_630,2,4,8,8,4052,1,99,140,31,32,1000,5000,1000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10198,科洛・图雷?,位置感极强，拦截出脚凶狠，防守面积较大。,hero_h_10198,hero_i_10198,shirt_629,3,4,2,8,4061,1,21,65,154,33,1000,1000,5000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10210,威廉・加拉,欧洲足坛一名能力极为全面的后卫。 ,hero_h_10210,hero_i_10210,shirt_611,3,4,2,8,4072,1,41,60,134,21,1000,1000,5000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10215,阿格,拥有北欧人强健的体魄，身材高大是球队后防重要的防空力量。,hero_h_10215,hero_i_10215,shirt_614,3,4,2,8,4060,1,37,34,143,21,1000,1000,5000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10275,比达尔,后防线上的多面手，速度快、弹跳出色。,hero_h_10275,hero_i_10275,shirt_616,3,4,8,8,4073,1,34,120,123,34,1000,1000,5000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10003,亨特拉尔,被誉为范巴斯滕之后荷兰最高效的神射手。,hero_h_10003,hero_i_10003,shirt_607,1,4,3,7,4057,1,142,62,21,49,5000,1000,1000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10100,埃利亚,曾赢得了约翰・克鲁伊夫奖，即荷兰最佳新秀奖。,hero_h_10100,hero_i_10100,shirt_607,2,4,4,7,4053,1,133,65,20,30,5000,1000,1000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10136,罗本,团队型球员，不仅仅能进球，还会为队友创造进球机会。,hero_h_10136,hero_i_10136,shirt_607,2,4,3,7,4068,1,154,101,21,12,5000,1000,1000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10142,斯内德,任意球是他的杀手锏，既可以踢出优美的弧线，又能轰出霸道的大力抽射。,hero_h_10142,hero_i_10142,shirt_607,2,4,4,7,4055,1,90,140,51,21,1000,5000,1000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10199,海廷加,可以踢防线上的任何位置。,hero_h_10199,hero_i_10199,shirt_607,3,4,2,7,4062,1,41,56,130,51,1000,1000,5000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10277,斯特克伦博格,高大的身材是其先天的优势，近年来进步神速。,hero_h_10277,hero_i_10277,shirt_607,4,4,4,7,4077,1,34,36,131,21,1000,1000,5000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10101,巴内加,拥有多种破门能力，能带球突然射门且攻守兼备。,hero_h_10101,hero_i_10101,shirt_606,2,4,5,6,4056,1,77,92,88,53,5000,1000,1000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10307,迪玛利亚,双脚灵活，盘带起来就犹如施展轻身功夫那样，花巧、优美、实用。,hero_h_10307,hero_i_10307,shirt_606,2,4,5,6,4066,1,98,130,86,53,1000,5000,1000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10024,比利亚,射术精湛，尤其是从禁区外向内突破的一下威力十足。,hero_h_10024,hero_i_10024,shirt_605,1,4,5,5,4057,1,130,98,38,21,5000,1000,1000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10025,托雷斯,短程冲刺速度极快，爆发力出众，能在一瞬间抹过后卫。,hero_h_10025,hero_i_10025,shirt_605,1,4,2,5,4058,1,121,102,37,52,5000,1000,1000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10083,马塔,前场穿针引线和传球能力突出，擅长团队协作。,hero_h_10083,hero_i_10083,shirt_605,1,4,8,5,4068,1,44,130,75,21,1000,5000,1000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10105,马丁内斯,身体条件出众，攻守能力均衡。,hero_h_10105,hero_i_10105,shirt_605,2,4,5,5,4067,1,63,95,44,34,1000,1000,5000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10106,纳瓦斯,塞维利亚青训系统培养出的炙手可热的球员。,hero_h_10106,hero_i_10106,shirt_605,2,4,5,5,4066,1,71,80,37,32,1000,5000,1000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10111,华金,出众的技术和想象力，西甲最犀利的右边锋。,hero_h_10111,hero_i_10111,shirt_605,2,4,5,5,4071,1,55,71,33,23,5000,1000,1000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10139,D・席尔瓦,不仅是一个边路的精灵，还是难以置信的多面手。,hero_h_10139,hero_i_10139,shirt_605,2,4,2,5,4052,1,68,98,47,32,1000,5000,1000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10140,法布雷加斯,曾在世青赛上被评为最佳球员同时获得金靴奖，英超史上最年轻的队长之一。,hero_h_10140,hero_i_10140,shirt_605,2,4,5,5,4053,1,89,130,47,21,1000,5000,1000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10149,布斯克茨,充满智慧的中场球员，阅读比赛能力非常强。,hero_h_10149,hero_i_10149,shirt_605,2,4,5,5,4058,1,42,145,67,21,1000,5000,1000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10150,阿隆索,强悍的拚抢能力，开阔的大局观，都帮助他迅速成为攻防枢纽。,hero_h_10150,hero_i_10150,shirt_605,2,4,5,5,4065,1,50,143,48,23,1000,5000,1000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10165,皮克,年仅25岁已获得21项大赛冠军，其中囊括了作为职业球员所能获得的全部荣誉。,hero_h_10165,hero_i_10165,shirt_605,2,4,2,5,4067,1,66,133,76,21,1000,5000,1000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10200,阿尔比奥尔,不俗的控球能力，身手敏捷，防守技术全面。,hero_h_10200,hero_i_10200,shirt_605,3,4,5,5,4063,1,39,90,102,43,1000,1000,5000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10303,雷纳,选位不错，对于传中地滚球扑中率较高。,hero_h_10303,hero_i_10303,shirt_605,4,4,2,5,4064,1,34,36,86,130,1000,1000,1000,5000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10005,乔文科,在技术、素质等诸多方面都证明了他是意大利球员中的翘楚。,hero_h_10005,hero_i_10005,shirt_604,1,4,4,4,4068,1,68,99,71,32,3500,1000,1000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10006,吉拉迪诺,吉拉迪诺踢起球来并不飘逸，却冲击力十足。,hero_h_10006,hero_i_10006,shirt_604,1,4,4,4,4058,1,42,87,98,23,1000,3500,1000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10034,巴洛特利,罚球高手，角球和任意球十分精准。,hero_h_10034,hero_i_10034,shirt_604,1,4,2,4,4070,1,140,78,21,31,3500,1000,1000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10099,诺切里诺,入选意大利国家队后渐成不可动摇的一分子。,hero_h_10099,hero_i_10099,shirt_604,2,4,4,4,4057,3,122,78,21,31,3500,1000,1000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
